88,[1.11537472],[68.78810883],[[  1.11537472   3.9827611  -68.78810883]],[[ 0.99866229  0.01894419 -0.04811181]],[[-0.01914378  0.99980993 -0.00369111]],[[0.04803274 0.00460721 0.99883514]]
89,[1.13780682],[69.78639277],[[  1.13780682   4.0368534  -69.78639277]],[[ 0.99860591  0.01862249 -0.04939077]],[[-0.01877471  0.99982031 -0.0026198 ]],[[0.0493331  0.00354345 0.9987761 ]]
90,[1.19068476],[70.7841696],[[  1.19068476   4.07741602 -70.7841696 ]],[[ 0.99859453  0.01827019 -0.04975108]],[[-0.01836342  0.99983037 -0.00141742]],[[0.04971674 0.00232903 0.99876064]]
91,[1.24748849],[71.78111844],[[  1.24748849   4.13095426 -71.78111844]],[[ 0.99858408  0.01840555 -0.04991061]],[[-0.01849182  0.99982821 -0.00126725]],[[0.04987871 0.00218839 0.99875288]]
92,[1.29737135],[72.77788331],[[  1.29737135   4.19397408 -72.77788331]],[[ 0.99852464  0.01959177 -0.05064294]],[[-0.01974085  0.99980214 -0.00244517]],[[0.05058502 0.0034413  0.99871383]]
93,[1.31354374],[73.77344683],[[  1.31354374   4.28666573 -73.77344683]],[[ 0.99842445  0.02157625 -0.05179845]],[[-0.02180832  0.99975449 -0.00391912]],[[0.05170117 0.00504259 0.99864987]]
94,[1.37164832],[74.76868429],[[  1.37164832   4.36493604 -74.76868429]],[[ 0.99827408  0.02443028 -0.05340442]],[[-0.02467058  0.99968824 -0.00384495]],[[0.05329383 0.00515583 0.99856556]]
95,[1.3893638],[75.76464751],[[  1.3893638    4.45293284 -75.76464751]],[[ 0.99814639  0.02679145 -0.05464432]],[[-0.02697633  0.99963256 -0.00264844]],[[0.05455328 0.00411763 0.99850237]]
96,[1.4298916],[76.76250584],[[  1.4298916    4.50427715 -76.76250584]],[[ 0.99807395  0.02844826 -0.05512798]],[[-0.02860323  0.99958879 -0.00202389]],[[0.05504773 0.00359683 0.99847725]]
97,[1.48854894],[77.75837264],[[  1.48854894   4.57362149 -77.75837264]],[[ 0.99803203  0.02913579 -0.05552639]],[[-0.02929007  0.99956902 -0.0019665 ]],[[0.05544516 0.003589   0.99845528]]
98,[1.54421169],[78.75602274],[[  1.54421169   4.61357072 -78.75602274]],[[ 0.99792165  0.03118691 -0.05638936]],[[-0.03132066  0.99950828 -0.00148947]],[[0.05631518 0.00325253 0.99840774]]
99,[1.60519531],[79.75262744],[[  1.60519531   4.66888862 -79.75262744]],[[ 0.99777635  0.03279219 -0.05802607]],[[-0.03294712  0.99945562 -0.00171509]],[[0.05793824 0.00362307 0.99831359]]
100,[1.69048659],[80.7482256],[[  1.69048659   4.70774338 -80.7482256 ]],[[ 0.99769234  0.03203199 -0.05986608]],[[-0.03220839  0.99947921 -0.00198375]],[[0.05977136 0.00390737 0.99820445]]
101,[1.75875706],[81.74319169],[[  1.75875706   4.78110301 -81.74319169]],[[ 0.9976683   0.03050175 -0.0610542 ]],[[-0.0306727   0.99952774 -0.0018644 ]],[[0.0609685  0.00373275 0.99813271]]
102,[1.84411933],[82.73658852],[[  1.84411933   4.85775824 -82.73658852]],[[ 0.99769767  0.02892251 -0.06134204]],[[-2.90065437e-02  9.99579107e-01 -4.79726052e-04]],[[0.06130235 0.00225794 0.99811669]]
103,[1.94254513],[83.7288476],[[  1.94254513   4.93348323 -83.7288476 ]],[[ 0.99774194  0.02819227 -0.06096084]],[[-2.81904793e-02  9.99602174e-01  8.89670756e-04]],[[6.09616667e-02 8.30853384e-04 9.98139762e-01]]
